id,name,title,slug,page_layout,tag_page_type,tag_media_1,tag_media_2,tag_language,tag_university,tag_canton,tag_special_content_1,tag_special_content_2,tag_references,tag_footnotes,tag_others,user_1_id,user_2_id,user_3_id,user_4_id,user_1_username,user_2_username,user_3_username,user_4_username
8853,"EVENT/ARTICLE Action, Thick & Thin","Action, Thick & Thin",2023-12-07-unine,article,article about event,,,English,UniNE,NE,,,,,,25159,bianchi,,,,,,
8573,UNIGE Quodlibeta 2023-2024,Quodlibeta 2023/2024,quodlibeta,article,information page,,,French,UniGE,GE,,,,,,20,unige,,,,,,
9015,UNIGE Le Cogitoscope,Le Cogitoscope,le-cogitoscope,standard,presentation page,,,French,UniGE,GE,,,,,,25119,blum,,,,,,
9038,EVENT/ARTICLE Time and Contradiction,Time and Contradiction,2023-05-22-unige,article,article about event,,,English,UniGE,GE,,,,,,20,unige,,,,,,
9017,UNIGE Thumos Seminar 2023,Thumos Seminar 2023,thumos-seminar-2023,article,information page,,,English,UniGE,GE,,,,,,25750,thumos,,,,,,
9032,EVENT/ARTICLE  Warwick-Geneva-Leipzig Interdepartmental Workshop,Warwick-Geneva-Leipzig Interdepartmental Workshop,2023-10-19-thumos,article,article about event,,,English,UniGE,GE,,,,,,26002,cappelli,,,,,,
9037,EVENT/ARTICLE First Barcelona-Geneva Workshop in Philosophy & Metaphysics of Science,First Barcelona-Geneva Workshop in Philosophy & Metaphysics of Science,2023-04-21-quantum,article,article about event,,,English,UniGE,GE,,,,,,25706,quantum-metaphysics,,,,,,
9178,EVENT/ARTICLE 3rd Lake Geneva Graduate Conference (LG2C 2018),3rd Lake Geneva Graduate Conference (LG2C 2018),lg2c-2018,article,article about event,,,English,UniGE,GE,,,,,,26072,lg2c,,,,,,
9180,EVENT/ARTICLE 1st Lake Geneva Graduate Conference (LG2C 2016),1st Lake Geneva Graduate Conference (LG2C 2016),lg2c-2016,article,article about event,,,English,UniGE,GE,,,,,,26072,lg2c,,,,,,
5887,UNIBE meta(φ) #7 - 2021,meta(φ) #7 - 2021,metaphi-7-2021,standard,media article,pdf,,German,UniBE,BE,metaphi,,,,,2164,schori,,,,,,
5890,UNIBE meta(φ) #5 - 2019,meta(φ) #5 - 2019,metaphi-5-2019,standard,media article,pdf,,German,UniBE,BE,metaphi,,,,,2164,schori,,,,,,
5892,UNIBE meta(φ) #3 - 2018,meta(φ) #3 - 2018,metaphi-3-2018,standard,media article,pdf,,German,UniBE,BE,metaphi,,,,,2164,schori,,,,,,
5894,UNIBE meta(φ) #1 - 2016,meta(φ) #1 - 2016,metaphi-1-2016,standard,media article,pdf,,German,UniBE,BE,metaphi,,,,,2164,schori,,,,,,
5901,UNIBE ἀρετή #1 - 2014,ἀρετή #1 - 2014,arete-1-2014,standard,media article,pdf,,German,UniBE,BE,metaphi,,,,,2164,schori,,,,,,
9205,UNIBE meta(φ) #9 - 2022,meta(φ) #9 - 2022,metaphi-9-2022,standard,media article,pdf,,German,UniBE,BE,metaphi,,,,,5254,scheiwiller,,,,,,
7678,TESTIMONIAL Gayané Naroyan,Gayané Naroyan: stagiaire à la fondation DiDé (Dignité en Détention),2023-11-10-naroyan,article,article,,,German,,,testimonial,,,,,789,naroyan,,,,,,
5057,TESTIMONIAL Barbara Bleisch,Barbara Bleisch: Philosophin und Journalistin,2016-11-11-bleisch,article,article,,,German,,,testimonial,,,,,25445,bleisch,,,,,,
5059,TESTIMONIAL Detlef Staude,Detlef Staude: Philosophischer Praktiker,2016-11-17-staude,article,article,,picture,German,,,,testimonial,,,,1948,staude,,,,,,
5062,TESTIMONIAL Anton Distler,Anton Distler: Assistenz in der Pflegedienstleistung,2016-11-16-distler,article,article,,,German,,,testimonial,,,,,26610,distler,,,,,,
5064,TESTIMONIAL Lotta Suter,Lotta Suter: Journalistin,2016-12-12-lsuter,article,article,,,German,,,testimonial,,,,,26613,lsuter,,,,,,
5067,TESTIMONIAL François-Xavier Putallaz,François-Xavier Putallaz,2017-06-24-putallaz,article,article,,picture,German,,,,testimonial,,,,25600,putallaz,,,,,,
5069,TESTIMONIAL Eve Hug,Eve Hug: Redaktorin Kommunikation Verteidigung,2018-02-14-hug,article,article,,,German,,,testimonial,,,,,25599,ehug,,,,,,
5066,TESTIMONIAL Sonja Dänzer,Sonja Dänzer: Glaceproduzentin,2017-06-14-daenzer,article,article,,,German,,,testimonial,,,,,25586,daenzer,,,,,,
5073,TESTIMONIAL Andrea Anderheggen,Andrea Anderheggen: Fliegenglas Verlag,2022-01-20-anderheggen,article,article,,,German,,,testimonial,,,,,25596,anderheggen,,,,,,
5072,TESTIMONIAL Andreas Heise,Andreas Heise: Männer.ch,2018-02-23-heise,article,article,,,German,,,testimonial,,,,,333,heise,,,,,,
8059,PUBLICATION Jahresbroschüre 2019,Bewusstsein,jahresbroschuere-2019,standard,media article,pdf,,German,,,our publication,,,,,5254,scheiwiller,,,,,,
8057,PUBLICATION Jahresbroschüre 2021,Agrippas Trilemma,jahresbroschuere-2021,article,media article,pdf,,German,,,our publication,,,,,4054,schinner,,,,,,
8830,Sprachkaffee,"“Ich möchte, dass Journalist:innen das besprechen""",2023-07-18-sprachkaffee,article,article without DOI,,,German,,,Fluchtgeschichten,,,,,24866,ragoni,,,,,,
9172,Sentitreff,"""Die Leute denken, ich sei nicht intelligent""",2023-11-02-kraeuchi,article,article without DOI,,,German,,,Fluchtgeschichten,,,,,4051,kraeuchi,,,,,,
9183,Hamayoun Lalis Fluchtgeschichte,"""Ich habe mein Leben riskiert für die Menschenrechte, aber der Schweiz war es egal""",2023-11-02-anon,article,article without DOI,,,German,,,Fluchtgeschichten,,,,,26037,anon,,,,,,
8917,Schülerstudium ,Schülerstudium ,2023-08-08-himmelreich,article,article,,,German,UniLU,LU,,,,,,25820,himmelreich,,,,,,
8959,Ist Freiheit Freiraum oder Partizipation?,Ist Freiheit Freiraum oder Partizipation?,2023-08-27-montemagno,article,article,,,German,,,,,,,,25688,montemagno,,,,,,
8960,Zwischen Kleben und Verstehen: Ziviler Ungehorsam der Klimaaktivist:innen und ihre juristischen und philosophischen Dissonanzen,Zwischen Kleben und Verstehen: Ziviler Ungehorsam der Klimaaktivist:innen und ihre juristischen und philosophischen Dissonanzen,2023-09-01-possard,article,article,,,German,,,,,,,,2022,possard,,,,,,
9008,Wohnalltag von Sans-Papiers,Wenn alltägliche Situationen zum Problem werden,2023-10-03-ragoni,article,article,,picture,German,,,,Fluchtgeschichten,,,,24866,ragoni,,,,,,
8846,Patenschaft,Patenschaft zwischen Schweizern und Flüchtlingen,2023-07-20-saraf,article,article without DOI,,,German,,,Fluchtgeschichten,,,,,25866,saraf,,,,,,
8956,How I escaped from the Taliban,How I escaped from the Taliban,2023-08-21-omari,article,article without DOI,,,English,,,Fluchtgeschichten,,,,,26066,omari,,,,,,
2342,Philosophie der Biologie,Philosophie der Biologie,2018-01-01-raess,article,article,,,German,,,,,,,,7,raess,,,,,,
1020,Logik in der Philosophie,Logik in der Philosophie,2017-08-29-huber,article,article,,,German,,,,,,,,25838,shuber,,,,,,
1703,Was ist angewandte Ethik?,Was ist angewandte Ethik?,2017-11-03-wallimann,article,article,,,German,,,,,,,,238,wallimann,,,,,,
2361,Geisteswissenschaften,Geisteswissenschaften,2022-09-12-raess,article,article,,,German,,,,,,,,7,raess,,,,,,
2184,"Ethik, Gesellschaft, Kultur","Ethik, Gesellschaft, Kultur",2018-01-09-grusenick,article,article,,,German,,,,,,,,502,grusenick,,,,,,
1157,Was ist die Transzendentalphilosophie?,Was ist die Transzendentalphilosophie?,2017-02-17-mikelson,article,article,,,German,,,,,,,,25839,mikelson,,,,,,
940,Philosophie der Psychiatrie,Philosophie der Psychiatrie,2016-12-18-schmid,article,article,,,German,,,,,,,,22730,jschmid,,,,,,
86,Philosophie der Psychologie,Philosophie der Psychologie,2023-07-02-thalmann,article,article,,,German,,,,,,,,24867,thalmann,,,,,,
8480,The Philosophy of Orientation ,The Philosophy of Orientation ,2023-05-05-stegmaier,article,article,,,German,,,,,,,,25809,stegmaier,,,,,,
8530,Erfahrungsbericht (ab ins Ausland),Psychotherapiewissenschaften in Wien,2023-05-22-thalmann,article,article,,,German,,,,,,,,24867,thalmann,,,,,,
8241,"Sei dir bewusst, woher die Gefahr kommt! ","Sei dir bewusst, woher die Gefahr kommt! ",2023-03-28-montemagno,article,article,,,German,,,,,,,,25688,montemagno,,,,,,
8349,Funktioniert die Gesellschaft auch ohne mich?!,Funktioniert die Gesellschaft auch ohne mich?!,2023-04-09-montemagno,article,article,,,German,,,,,,,,25688,montemagno,,,,,,
8400,Sticken mit Descartes ,Sticken mit Descartes ,2023-04-19-bochet,article,article,,,German,,,,,,,,566,bochet,,,,,,
3469,Erste Spuren philosophischen Denkens in der Schweiz,Erste Spuren philosophischen Denkens in der Schweiz,2019-08-24-raess,article,article,,picture,German,,,,,,,,7,raess,,,,,,
3703,Zwischen Institutionen und Weltgeist,Zwischen Institutionen und Weltgeist,2019-10-24-raess,article,article,,picture,German,,,,,,,,7,raess,,,,,,
3554,Philosophie und Öffentlichkeit,Philosophie und Öffentlichkeit,2019-09-18-raess,article,article,,picture,German,,,,,,,,7,raess,,,,,,
