new_tags,id
page type: article about event;language: German;canton: BS;,6319
page type: information page;language: German;canton: BS;,2692
page type: information page;language: German;canton: BS;,4931
page type: presentation page;language: German;university: Cafe;canton: FR;,8005
page type: presentation page;language: German;university: PH;canton: FR;special content 1: high schools;,9223
page type: presentation page;language: French;university: Soc;canton: FR;,5655
page type: event;university: UniFR;canton: FR;,9094
page type: event;university: UniFR;canton: FR;,9095
page type: event;university: UniFR;canton: FR;,9096
page type: event;university: UniFR;canton: FR;,9097
page type: event;university: UniFR;canton: FR;,9098
page type: event;university: UniFR;canton: FR;,9099
page type: event;university: UniFR;canton: FR;,9100
page type: event;university: UniFR;canton: FR;,9518
page type: event;university: UniFR;canton: FR;,9519
page type: event;university: UniFR;canton: FR;,9520
page type: event;university: UniFR;canton: FR;,9521
page type: event;university: UniFR;canton: FR;,9522
page type: event;university: UniFR;canton: FR;,9523
page type: event;university: UniFR;canton: FR;,9524
page type: event;university: UniFR;canton: FR;,9526
page type: event;university: UniFR;canton: FR;,9527
page type: event;university: UniFR;canton: FR;,9528
page type: event;university: UniFR;canton: FR;,9529
page type: event;university: UniFR;canton: FR;,9530
page type: event;university: UniFR;canton: FR;,9532
page type: event;university: UniFR;canton: FR;,9536
page type: event;university: UniFR;canton: FR;,9577
page type: event;university: UniFR;canton: FR;,9594
page type: event;university: UniFR;canton: FR;,9645
page type: event;university: UniFR;canton: FR;,9649
page type: media article;media 1: pdf;language: French;university: UniFR;canton: FR;special content 1: student paper;,8951
page type: presentation page;language: German;university: UniFR;canton: FR;special content 1: high schools;,7982
page type: presentation page;language: English;university: UniFR;canton: FR;,7960
page type: presentation page;language: English;university: UniFR;canton: FR;,7970
page type: presentation page;language: English;university: UniFR;canton: FR;,8421
page type: presentation page;language: French;university: UniFR;canton: FR;,9116
page type: presentation page;language: German;university: UniFR;canton: FR;,6336
page type: presentation page;language: German;university: UniFR;canton: FR;,7971
page type: article about event;language: German;university: UniFR;canton: FR;special content 1: philExpo22;,5379
page type: article about event;language: English;university: UniFR;canton: FR;,3194
page type: article about event;language: English;university: UniFR;canton: FR;,6835
page type: article about event;language: English;university: UniFR;canton: FR;,6836
page type: article about event;language: English;university: UniFR;canton: FR;,6837
page type: article about event;language: English;university: UniFR;canton: FR;,7210
page type: article about event;language: English;university: UniFR;canton: FR;,7212
page type: article about event;language: English;university: UniFR;canton: FR;,7213
page type: article about event;language: English;university: UniFR;canton: FR;,7216
page type: article about event;language: English;university: UniFR;canton: FR;,8958
page type: article about event;language: English;university: UniFR;canton: FR;,9117
page type: article about event;language: French;university: UniFR;canton: FR;,7214
page type: article about event;language: French;university: UniFR;canton: FR;,7215
page type: article about event;language: French;university: UniFR;canton: FR;,7219
page type: article about event;language: French;university: UniFR;canton: FR;,7220
page type: information page;language: English;university: UniFR;canton: FR;special content 1: job;,9616
page type: information page;language: English;university: UniFR;canton: FR;special content 1: job;,9673
page type: information page;language: English;university: UniFR;canton: FR;special content 1: job;,9675
page type: information page;language: English;university: UniFR;canton: FR;,7209
page type: information page;language: English;university: UniFR;canton: FR;,8423
page type: information page;language: English;university: UniFR;canton: FR;,9088
page type: information page;language: French;university: UniFR;canton: FR;,7211
page type: information page;language: multilingual;university: UniFR;canton: FR;,3856
page type: event;language: French;canton: FR;,9547
page type: event;language: French;canton: FR;,9549
page type: event;canton: FR;,9551
page type: event;canton: FR;,9552
page type: event;canton: FR;,9553
page type: event;canton: FR;,9554
page type: portal page;language: English;canton: FR;special content 1: site map;,8936
page type: article about event;language: English;canton: FR;special content 1: philExpo22;,7623
page type: article about event;language: French;canton: FR;special content 1: philExpo22;,6833
page type: article about event;language: French;canton: FR;special content 1: philExpo22;special content 2: our event;,7622
page type: article about event;language: German;canton: FR;,3122
page type: presentation page;language: French;university: Cafe;canton: GE;,7941
page type: presentation page;language: French;university: Cafe;canton: GE;,8008
page type: presentation page;language: French;university: Cafe;canton: GE;,8086
page type: presentation page;language: French;university: Cafe;canton: GE;,8087
page type: presentation page;language: French;university: Soc;canton: GE;,5748
page type: event;university: UniGE;canton: GE;,9005
page type: event;university: UniGE;canton: GE;,9021
page type: event;university: UniGE;canton: GE;,9022
page type: event;university: UniGE;canton: GE;,9023
