id,old_tags,new_tags,tagging_status,unexpected_error
8442,presentation page;UniGE;GE,page type: presentation page;language: English;university: UniGE;canton: GE;,success,
9041,presentation page;UniGE;GE,page type: presentation page;language: English;university: UniGE;canton: GE;,success,
9046,presentation page;UniGE;GE,page type: presentation page;language: English;university: UniGE;canton: GE;,success,
7138,presentation page;UniGE;GE,page type: presentation page;language: French;university: UniGE;canton: GE;,success,
7892,presentation page;UniGE;GE,page type: presentation page;language: French;university: UniGE;canton: GE;,success,
7958,presentation page;UniGE;GE,page type: presentation page;language: French;university: UniGE;canton: GE;,success,
9015,French;presentation page;UniGE;GE,page type: presentation page;language: French;university: UniGE;canton: GE;,success,
9044,presentation page;UniGE;GE,page type: presentation page;language: French;university: UniGE;canton: GE;,success,
7983,high-schools;presentation page,page type: presentation page;language: French;university: UniGE;canton: GE;special content 1: high schools;,success,
7635,philExpo22;article about event;UniGE;GE,page type: article about event;language: French;university: UniGE;canton: GE;special content 1: philExpo22;,success,
9043,article with wrong pdf;article about event;UniGE;GE,page type: article about event;media 2: picture;language: English;university: UniGE;canton: GE;,success,
7322,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
8330,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
8545,article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9031,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9032,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9035,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9036,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9037,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9038,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9040,article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9045,article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9178,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9179,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
9180,English;article about event;UniGE;GE,page type: article about event;language: English;university: UniGE;canton: GE;,success,
2737,PhD;French;article about event,page type: article about event;language: French;university: UniGE;canton: GE;,success,
7147,UniGE;GE;article about event,page type: article about event;language: French;university: UniGE;canton: GE;,success,
7150,UniGE;GE;article about event,page type: article about event;language: French;university: UniGE;canton: GE;,success,
9191,UniGE;GE;article about event,page type: article about event;language: French;university: UniGE;canton: GE;,success,
8368,UniGE;GE;article about event,page type: article about event;language: Italian;university: UniGE;canton: GE;,success,
7139,job;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;special content 1: job;,success,
7925,job;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;special content 1: job;,success,
8443,job;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;special content 1: job;,success,
9157,job;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;special content 1: job;,success,
9158,job;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;special content 1: job;,success,
9611,job;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;special content 1: job;,success,
9612,job;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;special content 1: job;,success,
9614,job;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;special content 1: job;,success,
9207,job;UniGE;GE,page type: information page;media 2: picture;language: French;university: UniGE;canton: GE;special content 1: job;,success,
9610,job;UniGE;GE,page type: information page;language: French;university: UniGE;canton: GE;special content 1: job;,success,
9017,information page;English;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;,success,
9034,information page;English;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;,success,
9451,information page;English;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;,success,
9452,information page;English;UniGE;GE,page type: information page;language: English;university: UniGE;canton: GE;,success,
8573,information page;French;UniGE;GE,page type: information page;language: French;university: UniGE;canton: GE;,success,
9129,information page;French;UniGE;GE,page type: information page;language: French;university: UniGE;canton: GE;,success,
9546,event;GE,page type: event;canton: GE;,success,
9548,event;GE,page type: event;canton: GE;,success,
9555,event;GE,page type: event;canton: GE;,success,
9647,event;GE,page type: event;canton: GE;,success,
7918,site map;GE,page type: portal page;language: English;canton: GE;special content 1: site map;,success,
7972,NE;VD;presentation page;GE,page type: presentation page;language: English;canton: GE;,success,
8540,presentation page;French;GE,page type: presentation page;language: French;canton: GE;,success,
